cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2025-05-01,category,otc hl,0,same,revenue,1,119
purchase,2025-05-01,category,otc hl,1,same,revenue,1,119
purchase,2025-05-01,category,otc hl,2,same,revenue,1,119
purchase,2025-05-01,category,otc hl,3,same,revenue,1,119
purchase,2025-05-01,category,otc hl,4,same,revenue,1,
purchase,2025-05-01,category,otc hl,5,same,revenue,1,
purchase,2025-05-01,category,otc hl,6,same,revenue,1,
purchase,2025-05-01,category,otc hl,7,same,revenue,1,
purchase,2025-05-01,category,otc hl,8,same,revenue,1,
purchase,2025-05-01,category,otc hl,9,same,revenue,1,
purchase,2025-05-01,category,otc hl,10,same,revenue,1,
purchase,2025-05-01,category,otc hl,11,same,revenue,1,
purchase,2025-05-01,category,otc hl,12,same,revenue,1,
purchase,2025-07-01,category,otc hl,0,any,revenue,2,379.1
purchase,2025-07-01,category,otc hl,1,any,revenue,2,379.1
purchase,2025-07-01,category,otc hl,2,any,revenue,2,
purchase,2025-07-01,category,otc hl,3,any,revenue,2,
purchase,2025-07-01,category,otc hl,4,any,revenue,2,
purchase,2025-07-01,category,otc hl,5,any,revenue,2,
purchase,2025-07-01,category,otc hl,6,any,revenue,2,
purchase,2025-07-01,category,otc hl,7,any,revenue,2,
purchase,2025-07-01,category,otc hl,8,any,revenue,2,
purchase,2025-07-01,category,otc hl,9,any,revenue,2,
purchase,2025-07-01,category,otc hl,10,any,revenue,2,
purchase,2025-07-01,category,otc hl,11,any,revenue,2,
purchase,2025-07-01,category,otc hl,12,any,revenue,2,
purchase,2025-07-01,category,otc hl,0,same,revenue,2,189.55
purchase,2025-07-01,category,otc hl,1,same,revenue,2,189.55
purchase,2025-07-01,category,otc hl,2,same,revenue,2,
purchase,2025-07-01,category,otc hl,3,same,revenue,2,
purchase,2025-07-01,category,otc hl,4,same,revenue,2,
purchase,2025-07-01,category,otc hl,5,same,revenue,2,
purchase,2025-07-01,category,otc hl,6,same,revenue,2,
purchase,2025-07-01,category,otc hl,7,same,revenue,2,
purchase,2025-07-01,category,otc hl,8,same,revenue,2,
purchase,2025-07-01,category,otc hl,9,same,revenue,2,
purchase,2025-07-01,category,otc hl,10,same,revenue,2,
